"","url","Name","Record","Height","Weight","Reach","Stance","Style","DOB"
"1","http://ufcstats.com/fighter-details/6a2f7c151031653d","Rafael Dos Anjos","30-13-0","5' 8""","155 lbs.","70""","Southpaw","Brazilian Jiu-Jitsu","Oct 26, 1984"
"2","http://ufcstats.com/fighter-details/e5010b1b94ca5755","Paul Felder","17-6-0","5' 11""","155 lbs.","70""","Orthodox","Taekwondo, Karate, Muay Thai, Brazilian Jiu-Jitsu","Apr 25, 1984"
"3","http://ufcstats.com/fighter-details/2558ae2e5671e318","Khaos Williams","11-1-0","6' 0""","170 lbs.","77""","Orthodox",NA,"Mar 30, 1994"
"4","http://ufcstats.com/fighter-details/eae431e70064e046","Abdul Razak Alhassan","10-3-0","5' 10""","170 lbs.","73""","Orthodox","Judo, Muay Thai","Aug 11, 1985"
"5","http://ufcstats.com/fighter-details/b4c6c904a9ffc5e8","Ashley Yoder","8-6-0","5' 7""","115 lbs.","69""","Southpaw","Wrestling, Boxing, BJJ, Kickboxing","Oct 20, 1987"
"6","http://ufcstats.com/fighter-details/7559395ad833c074","Miranda Granger","7-2-0","5' 7""","125 lbs.","68""","Orthodox",NA,"Apr 13, 1992"
"7","http://ufcstats.com/fighter-details/0d8011111be000b2","Sean Strickland","22-3-0","6' 1""","185 lbs.","76""","Orthodox",NA,"Feb 27, 1991"
"8","http://ufcstats.com/fighter-details/2f181c0467965b98","Brendan Allen","15-4-0","6' 2""","185 lbs.","75""","Orthodox",NA,"Dec 28, 1995"
"9","http://ufcstats.com/fighter-details/3351aa64aa83c4d9","Cory McKenna","6-1-0","5' 3""","115 lbs.","58""","Orthodox",NA,"Nov 07, 1999"
"10","http://ufcstats.com/fighter-details/4100c7a09497ad41","Kay Hansen","7-4-0","5' 2""","115 lbs.","63""","Orthodox","BJJ","Aug 14, 1999"
"11","http://ufcstats.com/fighter-details/e0b0cf71e0d69dd0","Kanako Murata","12-1-0","5' 1""","115 lbs.","62""","Orthodox","Wrestling, Brazilian jiu-jitsu","Aug 10, 1993"
